feature,importance,abs_importance
ma_ratio_100,-0.27866822037368333,0.27866822037368333
vol_20d,0.16618059027810872,0.16618059027810872
vol_60d,-0.1622463636647876,0.1622463636647876
ma_cross_20_50,0.12217680757194276,0.12217680757194276
cpi,0.10685462523978942,0.10685462523978942
fed_funds,0.09027724234266819,0.09027724234266819
ma_ratio_50,0.08853362682416302,0.08853362682416302
volume_z_20,-0.08426971710221962,0.08426971710221962
2y_treasury,-0.07393853314142844,0.07393853314142844
10y_treasury,-0.05629179421835913,0.05629179421835913
unemployment,0.05524609983378254,0.05524609983378254
ma_ratio_20,0.052589184501850746,0.052589184501850746
term_spread,0.03769864959723525,0.03769864959723525
ret_5d,-0.03625216585717751,0.03625216585717751
ret_1d,-0.03387952485342808,0.03387952485342808
volume_ratio_20,0.031339785883223205,0.031339785883223205
ret_60d,0.028727854804869626,0.028727854804869626
ret_20d,-0.012051497353008731,0.012051497353008731
